name	creation_timestamp	last_push_timestamp	time_between_creation_and_last_push	time_since_creation	time_since_last_push	stargazers_count	watch_count	subscriber_count	open_issues	fork	forks_count	network_count	contributors	contributions	cont_per_0	cont_per_1	cont_per_2	cont_per_3	cont_per_4	cont_per_5	cont_per_6	cont_per_7	cont_per_8	cont_per_9
Altaf-Mahdi/i9000	1372327975	1382448680	10120705	316435485	306314780	1	0	0	0	0	2	2	100	81144	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
Altaf-Mahdi/i9100	1381358388	1382660367	1301979	307405072	306103093	0	0	0	0	0	1	1	100	80899	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
Altaf-Mahdi/mako	1372289152	1398263711	25974559	316474308	290499749	0	0	0	0	0	4	4	100	92856	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Altaf-Mahdi/mako-kernel-old	1366020129	1372513780	6493651	322743331	316249680	0	0	0	0	0	0	0	100	92915	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
altair-viz/altair	1442632444	1688562644	245930200	246131016	200816	8349	0	0	192	0	739	739	100	3373	0.6	0.1	0.06	0.04	0.03	0.02	0.02	0.01	0.01	0.01
altcrauer/linux	1372343871	1442698290	70354419	316419589	246065170	4	0	0	0	1	4	48616	100	111365	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
alterapraxisptyltd/lenovo-g505s	1401941320	1402012704	71384	286822140	286750756	0	0	0	0	0	0	0	100	6047	0.12	0.11	0.09	0.08	0.07	0.05	0.04	0.03	0.03	0.03
alteredlikeness/android_kernel_msm	1411308978	1412723812	1414834	277454482	276039648	0	0	0	0	0	3	3	100	92371	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
AltGr/opam-repository	1374680307	1683628279	308947972	314083153	5135181	1	0	0	3	1	0	993	100	32273	0.23	0.13	0.12	0.07	0.03	0.02	0.02	0.02	0.02	0.01
Altiscale/docker	1416870676	1484258000	67387324	271892784	204505460	0	0	0	1	1	0	18756	100	16106	0.09	0.08	0.08	0.07	0.06	0.05	0.04	0.04	0.04	0.04
Altiscale/pdsh	1435718466	1435718522	56	253044994	253044938	0	0	0	26	0	0	0	3	1216	0.55	0.23	0.22	0	0	0	0	0	0	0
altmind/cdnjs	1395437483	1397496908	2059425	293325977	291266552	0	0	0	0	1	0	4562	100	3377	0.28	0.24	0.13	0.04	0.01	0.01	0.01	0.01	0.01	0.01
altMITgcm/MITgcm66h	1496868193	1507929548	11061355	191895267	180833912	3	0	0	7	0	9	9	19	16739	0.54	0.15	0.1	0.05	0.04	0.04	0.02	0.02	0.01	0.01
AltraMayor/XIA-for-Linux	1302700526	1537307207	234606681	386062934	151456253	93	0	0	6	0	42	42	0	0	0	0	0	0	0	0	0	0	0	0
alucard001/cdnjs	1413425762	1413395208	-30554	275337698	275368252	0	0	0	0	1	0	4562	100	5633	0.24	0.22	0.17	0.08	0.05	0.01	0.01	0.01	0.01	0.01
Alucard24/Alucard-Kernel-LG-G5	1463084367	1501929250	38844883	225679093	186834210	12	0	0	0	0	1	1	100	138408	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
Alucard24/Dorimanx-SG2-I9100-Kernel	1356624239	1382977159	26352920	332139221	305786301	5	0	0	0	1	3	111	100	85793	0.08	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
aluuu/opam-repository	1414598451	1495052714	80454263	274165009	193710746	1	0	0	0	1	0	993	100	18132	0.29	0.18	0.11	0.04	0.03	0.02	0.02	0.02	0.02	0.01
AlvaroC-ML/equivariant-cgcnn	1666749192	1671689050	4939858	22014268	17074410	0	0	0	0	0	0	0	1	55	1.0	0	0	0	0	0	0	0	0	0
