name	creation_timestamp	last_push_timestamp	time_between_creation_and_last_push	time_since_creation	time_since_last_push	stargazers_count	watch_count	subscriber_count	open_issues	fork	forks_count	network_count	contributors	contributions	cont_per_0	cont_per_1	cont_per_2	cont_per_3	cont_per_4	cont_per_5	cont_per_6	cont_per_7	cont_per_8	cont_per_9
Split-Screen/android_kernel_samsung_hlte	1423840032	1435573919	11733887	264840060	253106173	0	0	0	0	0	1	1	100	92373	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_samsung_i9300	1428539331	1450938406	22399075	260140761	237741686	0	0	0	0	0	0	0	100	80728	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_samsung_jf	1422847073	1504552866	81705793	265833019	184127226	0	0	0	0	0	0	0	100	93475	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_samsung_manta	1422968731	1467886110	44917379	265711361	220793982	0	0	0	0	0	0	0	100	92898	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_samsung_smdk4412	1423443086	1435169880	11726794	265237006	253510212	0	0	0	0	0	0	0	100	80900	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_samsung_trlte	1425246321	1437709766	12463445	263433771	250970326	0	0	0	0	0	1	1	100	111910	0.1	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_semc_msm7x30	1425905620	1427387522	1481902	262774472	261292570	0	0	0	0	0	0	0	100	92395	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_sony_msm8974	1422906489	1448092743	25186254	265773603	240587349	0	0	0	0	0	2	2	100	92396	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_xiaomi_armani	1434913534	1444459870	9546336	253766558	244220222	0	0	0	0	0	0	0	100	92419	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_xiaomi_cancro	1440855955	1440860230	4275	247824137	247819862	0	0	0	0	0	0	0	100	92372	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_yu_msm8916	1429359596	1431268168	1908572	259320496	257411924	0	0	0	0	0	0	0	100	112098	0.1	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Spondoolies-Tech/kernel	1391073657	1410773198	19699541	297606435	277906894	0	0	0	0	0	3	3	100	104818	0.1	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02
SpoonX/aurelia-authentication	1450424078	1606307933	155883855	238256014	82372159	92	0	0	0	0	61	61	35	781	0.51	0.3	0.1	0.02	0.01	0.01	0.01	0.0	0.0	0.0
Sricharanti/sricharan	1332391055	1403762663	71371608	356289037	284917429	2	0	0	0	0	1	1	100	125015	0.1	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Srisai85/numpy	1439891328	1439888003	-3325	248788764	248792089	0	0	0	0	1	0	8286	100	12422	0.18	0.17	0.12	0.09	0.06	0.05	0.05	0.03	0.03	0.02
Srisai85/scipy	1439891372	1439873524	-17848	248788720	248806568	0	0	0	0	1	0	4771	100	10825	0.19	0.14	0.09	0.08	0.05	0.04	0.04	0.04	0.03	0.02
Stane1983/android_kernel_xiaomi_dior	1455471813	1458822213	3350400	233208279	229857879	0	0	0	0	1	0	2839	100	92384	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Stane1983/odroidc-linux	1438514852	1438631216	116364	250165240	250048876	0	0	0	0	1	0	48684	100	111836	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
StanfordLegion/legion	1353113038	1687888506	334775468	335567054	791586	592	0	0	466	0	134	134	50	14082	0.39	0.25	0.14	0.11	0.03	0.03	0.01	0.01	0.01	0.01
StanfordLegion/legion.stanford.edu	1475001078	1687408314	212407236	213679014	1271778	0	0	0	5	0	7	7	14	224	0.9	0.04	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0
StarKissed/starkissed-kernel-ardbeg	1416536336	1438378707	21842371	272143756	250301385	3	0	0	0	1	1	4	100	112836	0.1	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02
StarKissed/starkissed-kernel-roth	1413987572	1423608598	9621026	274692520	265071494	0	0	0	0	0	1	1	100	93457	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Starship-Android/android_kernel_lge_hammerhead-starship	1433877209	1448662852	14785643	254802883	240017240	0	0	0	0	1	1	185	100	92446	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Starship-Android/starship_kernel_moto_shamu	1459820656	1460075058	254402	228859436	228605034	0	0	0	0	1	1	60	100	111930	0.1	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Stavitsky/nova	1435691082	1451312327	15621245	252989010	237367765	1	0	0	0	1	1	2546	100	12807	0.13	0.05	0.04	0.04	0.04	0.03	0.03	0.03	0.03	0.03
Stavrakakis/cdnjs	1404124155	1489802597	85678442	284555937	198877495	0	0	0	0	1	0	4562	100	4284	0.29	0.23	0.11	0.06	0.03	0.01	0.01	0.01	0.01	0.01
Stefan-Endres/scipy	1653253031	1676152157	22899126	35427061	12527935	0	0	0	0	1	1	4771	100	23920	0.15	0.13	0.06	0.05	0.05	0.04	0.04	0.03	0.03	0.02
StefanescuCristian/hammerhead	1401561142	1445720476	44159334	287118950	242959616	5	0	0	0	0	2	2	100	92470	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
StefanescuCristian/shamu	1457886834	1473266156	15379322	230793258	215413936	1	0	0	0	0	0	0	100	112114	0.1	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02
StelixROM/android_kernel_google_msm	1438955451	1438957743	2292	249724641	249722349	0	0	0	0	1	0	387	100	92046	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
StelixROM/android_kernel_htc_msm8960	1426351478	1449588659	23237181	262328614	239091433	0	0	0	0	1	1	173	100	93301	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
StelixROM/android_kernel_lge_hammerhead	1434455949	1444562386	10106437	254224143	244117706	0	0	0	0	1	0	50	100	92443	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
StelixROM/android_kernel_lge_mako	1438957425	1438957868	443	249722667	249722224	0	0	0	0	1	0	13	100	92046	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
StelixROM/android_kernel_sony_msm8930	1438957461	1438957899	438	249722631	249722193	0	0	0	0	1	0	26	100	92347	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
StelixROM/kernel_lge_msm8974	1438957547	1438957947	400	249722545	249722145	0	0	0	0	1	0	16	100	92363	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Stellenticket/rails	1454411635	1633859743	179448108	234268457	54820349	0	0	0	0	1	0	21206	100	62590	0.11	0.08	0.07	0.06	0.06	0.04	0.04	0.03	0.02	0.02
SteveClement/gitignore	1422962816	1447547799	24584983	265717276	241132293	0	0	0	0	1	0	84173	100	1056	0.32	0.12	0.1	0.08	0.03	0.02	0.02	0.01	0.01	0.01
SteveLinCH/linux	1464166006	1593672487	129506481	224514086	95007605	0	0	0	0	1	0	48683	100	158141	0.1	0.04	0.04	0.04	0.02	0.02	0.02	0.02	0.02	0.02
StevenHeinrich/angular-openlayers-directive	1473198589	1477064325	3865736	215481503	211615767	0	0	0	0	1	0	186	46	521	0.65	0.14	0.03	0.02	0.01	0.01	0.01	0.01	0.01	0.01
StevenLudwig/docker	1440791589	1440790637	-952	247888503	247889455	1	0	0	0	1	0	18757	100	11486	0.13	0.11	0.08	0.07	0.06	0.06	0.04	0.04	0.04	0.04
SteveViss/readthedocs.org	1443620056	1443590660	-29396	245060036	245089432	0	0	0	0	1	0	3726	100	5838	0.72	0.07	0.05	0.03	0.02	0.01	0.01	0.01	0.01	0.01
SteVwonder/flux-sched	1416058216	1633716339	217658123	272621876	54963753	1	0	0	0	1	0	34	13	3097	0.4	0.26	0.16	0.08	0.06	0.02	0.01	0.01	0.01	0.0
StoneCypher/cdnjs	1424164197	1530066130	105901933	264515895	158613962	0	0	0	4	1	0	4562	100	7421	0.4	0.18	0.13	0.06	0.04	0.01	0.01	0.01	0.01	0.01
STR4NG3R/android_kernel_motorola_msm8226	1477868545	1484807949	6939404	210811547	203872143	0	0	0	0	1	0	217	100	93209	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Streamlet/GoogleHelper	1426825127	1533315464	106490337	261854965	155364628	1	0	0	0	0	0	0	100	1178	0.53	0.13	0.09	0.07	0.02	0.01	0.01	0.01	0.01	0.01
STS-Dev-Team/kernel_mapphone_kexec	1345567927	1374553278	28985351	343112165	314126814	6	0	0	1	0	15	15	100	80550	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
StuartGuo/gitignore	1441635944	1441537824	-98120	247044148	247142268	0	0	0	0	1	0	84173	100	993	0.33	0.12	0.1	0.04	0.03	0.02	0.02	0.01	0.01	0.01
StuartLittlefair/astropy	1635763475	1658304766	22541291	52916617	30375326	0	0	0	0	1	0	1602	100	32137	0.14	0.11	0.09	0.08	0.07	0.06	0.06	0.05	0.03	0.03
